config,seed,fold,r2,rmse,aare
baseline,2,400-0_1,0.6000527739524841,10.679661067770875,13.680667877197266
baseline,2,450-0_001,0.48930197954177856,2.529419130883404,16.338218688964844
baseline,2,450-0_01,0.9047199487686157,2.087513303428792,3.3309788703918457
baseline,2,450-0_1,0.3850230574607849,5.429018443209957,11.986754417419434
baseline,3,250-0_001,0.8404521346092224,6.117587840108658,10.268316268920898
baseline,3,250-0_01,0.5741341710090637,15.491355700532788,14.945116996765137
baseline,3,250-0_1,0.7241415977478027,25.18441503672832,19.360044479370117
baseline,3,300-0_001,0.8613828420639038,4.881469541880361,7.905785083770752
baseline,3,300-0_01,0.8912595510482788,5.757739290473349,8.543770790100098
baseline,3,300-0_1,0.20851337909698486,28.783710917116927,7.979428768157959
baseline,3,350-0_001,0.7125226259231567,4.760799979617171,16.055370330810547
baseline,3,350-0_01,0.8774831295013428,4.821135662405424,9.236931800842285
baseline,3,350-0_1,-0.31198883056640625,23.60998639388704,25.722679138183594
baseline,3,400-0_001,0.8547922372817993,2.092954114269703,9.180994033813477
baseline,3,400-0_01,0.866336464881897,3.260650496380423,5.603054523468018
baseline,3,400-0_1,0.5632389783859253,11.160355867570726,18.96729850769043
baseline,3,450-0_001,0.5726915597915649,2.313712858770633,14.392134666442871
baseline,3,450-0_01,0.8813798427581787,2.3292038229319876,6.4699835777282715
baseline,3,450-0_1,0.47521352767944336,5.015141829275522,11.795528411865234
baseline,4,250-0_001,0.811444878578186,6.650494446693272,13.00346565246582
baseline,4,250-0_01,0.6475960612297058,14.092025211464351,11.978784561157227
baseline,4,250-0_1,0.8814284205436707,16.511214635520744,13.044415473937988
baseline,4,300-0_001,0.9051071405410767,4.038861563017446,7.018205642700195
baseline,4,300-0_01,0.855366051197052,6.640359599475887,10.282770156860352
baseline,4,300-0_1,0.3626437783241272,25.829507392678583,6.862205982208252
baseline,4,350-0_001,0.8633867502212524,3.2818940030217782,9.072670936584473
baseline,4,350-0_01,0.936072587966919,3.482531551702864,7.604121208190918
baseline,4,350-0_1,-0.25135159492492676,23.057931669831643,23.937118530273438
baseline,4,400-0_001,0.8275927305221558,2.2805658647141853,9.763498306274414
baseline,4,400-0_01,0.8693854808807373,3.2232464244162604,4.9781670570373535
baseline,4,400-0_1,0.6734066605567932,9.650721278931087,16.185222625732422
baseline,4,450-0_001,0.5399003028869629,2.4008480719401164,15.009027481079102
baseline,4,450-0_01,0.9013280272483826,2.124345341986336,4.868334770202637
baseline,4,450-0_1,0.6887878179550171,3.862070354775005,10.008419036865234
baseline,5,250-0_001,0.8430712819099426,6.0671667640443685,12.400460243225098
baseline,5,250-0_01,0.3549961447715759,19.064885224747943,17.044401168823242
baseline,5,250-0_1,0.5910263061523438,30.66453920807795,22.375320434570312
baseline,5,300-0_001,0.8395318984985352,5.252141969689641,7.349854469299316
baseline,5,300-0_01,0.9317833781242371,4.560386690843171,6.806414604187012
baseline,5,300-0_1,0.25143593549728394,27.992358663654755,9.590396881103516
baseline,5,350-0_001,0.8046220541000366,3.924785248536708,12.711393356323242
baseline,5,350-0_01,0.8628183603286743,5.101517634756776,9.875641822814941
baseline,5,350-0_1,-0.1622028350830078,22.22141169447415,23.910648345947266
baseline,5,400-0_001,0.7026666402816772,2.994929797539084,12.916071891784668
baseline,5,400-0_01,0.8707881569862366,3.205892270006465,4.889679431915283
baseline,5,400-0_1,0.6593591570854187,9.856085710722557,16.721664428710938
baseline,5,450-0_001,0.5002421140670776,2.502179816739123,15.771417617797852
baseline,5,450-0_01,0.9174262881278992,1.9433414630927044,4.712786674499512
baseline,5,450-0_1,0.39319849014282227,5.3928113843407495,14.809632301330566
baseline,6,250-0_001,0.8985096216201782,4.879183416992068,7.231415271759033
baseline,6,250-0_01,0.754308819770813,11.766513340052805,11.265949249267578
baseline,6,250-0_1,0.7407453060150146,24.414737490669058,15.692706108093262
baseline,6,300-0_001,0.8186439275741577,5.5835211802904405,9.621015548706055
baseline,6,300-0_01,0.8391544222831726,7.002628105541625,10.641926765441895
baseline,6,300-0_1,0.38584262132644653,25.35507126142372,7.12909460067749
baseline,6,350-0_001,0.7553032636642456,4.392301951911728,15.225410461425781
baseline,6,350-0_01,0.9151531457901001,4.012078169756214,4.992453575134277
baseline,6,350-0_1,-0.25046610832214355,23.049772063677768,25.592575073242188
baseline,6,400-0_001,0.8231372237205505,2.309846025264651,9.861681938171387
baseline,6,400-0_01,0.8923733234405518,2.925888487374691,7.631450653076172
baseline,6,400-0_1,0.46380096673965454,12.36571238932508,20.165403366088867
baseline,6,450-0_001,0.6234983801841736,2.17181143907808,13.805768966674805
baseline,6,450-0_01,0.8620024919509888,2.5122553843895017,6.14171028137207
baseline,6,450-0_1,0.7442325353622437,3.5011805859310217,8.290888786315918
baseline,7,250-0_001,0.8691414594650269,5.540332471049956,8.216144561767578
baseline,7,250-0_01,0.36070048809051514,18.980393583278822,18.58485221862793
