cond,config,seed,r2,rmse,aare
150-0_01,mono,5,0.7520018815994263,6.952339316565054,3.6492035388946533
150-0_1,mono,5,0.8810999989509583,20.50819940111226,2.624155044555664
250-0_001,mono,5,0.899266242980957,2.4061095952277043,2.1769018173217773
250-0_01,mono,5,0.9669936895370483,2.3071533460180396,1.6864038705825806
250-0_1,mono,5,0.9704720377922058,3.0099730027214227,1.9646594524383545
300-0_001,mono,5,0.8900725245475769,2.863342700834868,4.498626232147217
300-0_01,mono,5,0.9720942974090576,2.922176733094019,4.924678802490234
300-0_1,mono,5,0.8332768082618713,17.008153418723733,14.929059028625488
350-0_001,mono,5,0.9547390937805176,2.1013437603983873,2.608736753463745
350-0_01,mono,5,0.9826253056526184,1.3168623499178973,3.1418216228485107
350-0_1,mono,5,0.9553140997886658,4.13405147794684,1.410779595375061
400-0_001,mono,5,0.8602313995361328,2.686676254002935,8.12890338897705
400-0_01,mono,5,0.9546517729759216,1.1094870712194005,2.4288783073425293
400-0_1,mono,5,0.8410741686820984,7.249830309756476,14.623589515686035
450-0_001,mono,5,0.3070269823074341,2.849667104720664,17.147510528564453
450-0_01,mono,5,0.5845034122467041,4.031534820667423,3.1409080028533936
450-0_1,mono,5,0.9524743556976318,1.540977874022706,4.487072467803955
RT-0_001,baseline,6,0.9627790451049805,6.92821479295245,2.8952667713165283
RT-0_01,baseline,6,0.9934582114219666,3.8870958614948248,2.3599143028259277
RT-0_1,baseline,6,0.931113064289093,15.872997728367682,0.49858278036117554
150-0_001,baseline,6,0.9485556483268738,14.52338181639406,51.98434066772461
150-0_01,baseline,6,-0.07368242740631104,67.28792277059271,1.4817607402801514
150-0_1,baseline,6,0.9848171472549438,4.668076415795489,3.027108669281006
250-0_001,baseline,6,0.8899378776550293,5.233435520867169,8.129806518554688
250-0_01,baseline,6,0.9488739967346191,6.434858354196634,1.7288920879364014
250-0_1,baseline,6,0.9766233563423157,6.8496840021241185,6.266633987426758
300-0_001,baseline,6,0.916191041469574,2.232371892895195,3.3360681533813477
300-0_01,baseline,6,0.9761798977851868,1.949442512343592,2.578967332839966
300-0_1,baseline,6,0.9885507822036743,2.3695011729398305,1.5521502494812012
350-0_001,baseline,6,0.616288959980011,3.2194967051899592,8.020801544189453
350-0_01,baseline,6,0.995805025100708,0.6232553928354622,1.298976182937622
350-0_1,baseline,6,0.9841541051864624,2.5541992654218837,2.24676251411438
400-0_001,baseline,6,0.982296347618103,0.7509592994322922,3.0831053256988525
400-0_01,baseline,6,0.9390036463737488,1.0875052791774251,2.7204577922821045
400-0_1,baseline,6,0.9648507237434387,3.549078840638149,2.6437277793884277
450-0_001,baseline,6,0.8444870710372925,1.2175725971643496,7.707484245300293
450-0_01,baseline,6,0.8278655409812927,1.1780624312322323,3.3074710369110107
450-0_1,baseline,6,0.8692079782485962,2.7635711112372765,6.380032539367676
RT-0_001,mono,6,0.9816188812255859,4.868700701521515,2.1432783603668213
RT-0_01,mono,6,0.9977234601974487,2.293044860720428,1.438706874847412
RT-0_1,mono,6,0.9179101586341858,17.327473359027636,0.8206689953804016
150-0_001,mono,6,0.9633514285087585,12.258227018564792,44.747901916503906
150-0_01,mono,6,-0.08831667900085449,67.744936820723,1.66468346118927
150-0_1,mono,6,0.9971838593482971,2.010422253642118,1.3897987604141235
250-0_001,mono,6,0.9865772724151611,1.827631892025419,3.0739052295684814
250-0_01,mono,6,0.892213761806488,9.343286611236275,1.3721919059753418
250-0_1,mono,6,0.9554696679115295,9.453820674298665,7.715473175048828
300-0_001,mono,6,0.9294754862785339,2.04781756647986,3.0498733520507812
